Source.Name,City,District,Sub-District,PM2.5,Date
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,36.90758638,1/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,39.19455061,2/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,36.32617271,3/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,44.16299998,4/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,36.04191667,5/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,43.91875,6/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,46.544875,7/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,50.69370833,8/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,80.0695,9/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,51.41229167,10/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,39.73475,11/1/2024
PM25_Tambon_1m_2024-01-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,42.242,12/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.29621739,12/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.60675,13/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,44.03745833,14/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,38.75616667,15/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,42.23279167,16/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,53.51758333,17/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,62.1485,18/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,80.41820833,19/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,59.24608333,20/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,39.59320833,21/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,47.73754167,22/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,60.656,23/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,39.53175,24/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.11770833,25/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,42.91177449,26/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,56.02358333,27/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,65.46908333,28/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,51.53470833,29/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,82.67,30/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,79.27783333,31/1/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,36.97566667,1/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.3745,2/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,29.07654167,3/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.36883333,4/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,35.9235,5/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.78429167,6/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.22125,7/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,17.92958333,8/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.318125,9/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,43.27029167,10/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,42.70129167,11/2/2024
PM25_Tambon_1m_2024-02-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,59.003,12/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,65.68995652,12/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,77.68766667,13/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,106.1318333,14/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,70.35154167,15/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.15795833,16/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.46483333,17/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,10.66375,18/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,10.5905,19/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,9.422083333,20/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.32120833,21/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.110625,22/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.65208333,23/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.36425,24/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.52733333,25/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.278,26/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,43.08116667,27/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.19733333,28/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.42716667,29/2/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.78225,1/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,25.965,2/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.93704167,3/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.05,4/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,16.717375,5/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.65583333,6/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.57266667,7/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.90958333,8/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.41695833,9/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.82545833,10/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,29.746375,11/3/2024
PM25_Tambon_1m_2024-03-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.007,12/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.9273913,12/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.44129167,13/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.32525,14/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,16.04425,15/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.92295833,16/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.25270833,17/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,17.098625,18/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.68079167,19/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,70.06008333,20/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,77.310375,21/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,65.86283333,22/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.90308333,23/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.11454167,24/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.29758333,25/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.085125,26/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.03704167,27/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.13870833,28/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.82404167,29/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.20758333,30/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,10.20833333,31/3/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,42.26729167,1/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.42291667,2/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,20.92920833,3/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.10083333,4/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.75279167,5/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.43133333,6/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.224625,7/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.028875,8/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,9.958791667,9/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,20.77595833,10/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,71.48729167,11/4/2024
PM25_Tambon_1m_2024-04-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,34.9,12/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,20.13291304,12/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.482875,13/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.43491667,14/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,16.25329167,15/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.56825,16/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.55158333,17/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,27.212125,18/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,57.24779167,19/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,62.04833333,20/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,58.525875,21/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,34.64958333,22/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,36.91879071,23/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,16.58475922,24/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.29980383,25/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.30110662,26/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.24791552,27/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,9.2533029,28/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,8.775945751,29/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,52.97815643,30/4/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,67.45658333,1/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.117625,2/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,35.84566877,3/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,41.9372024,4/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,51.11033333,5/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,52.14317161,6/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,44.50679167,7/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,33.20882102,8/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.08062317,9/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,17.15948435,10/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,29.12379167,11/5/2024
PM25_Tambon_1m_2024-05-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,52.522,12/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,44.73680235,12/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.24138261,13/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,42.82600103,14/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,60.28582698,15/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.24442321,16/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.03055542,17/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.44292733,18/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.62533515,19/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.74881826,20/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.55231996,21/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.52994665,22/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.25775463,23/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.36658981,24/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.32463488,25/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.7750968,26/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,17.12173741,27/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.11956404,28/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.7898974,29/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.21637939,30/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,25.30747575,31/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.09855733,1/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.94573289,2/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.11075,3/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.8439809,4/6/2024
